id,product,rating,review_text,category
1,무선 블루투스 이어폰,5,배송이 정말 빠르고 제품 품질도 최고예요! 음질이 기대 이상이라 완전 만족합니다. 또 살게요.,전자제품
2,USB-C 고속 충전기,4,충전 속도가 정말 빠르네요. 가격 대비 만족스럽습니다. 포장도 깔끔했어요.,전자제품
3,노트북 거치대,2,사진이랑 실제 색상이 달라요. 배송은 빨랐는데 기대보다 많이 실망했습니다.,액세서리
4,스마트 체중계,5,앱 연동이 너무 편리해요! 매일 쓰고 있어요. 디자인도 예쁘고 배터리도 오래가요.,헬스
5,보온 텀블러,3,보온 성능은 괜찮은데 뚜껑이 조금 빡빡해요. 그 외엔 만족합니다.,생활용품
6,무선 마우스,1,배송 중에 파손됐어요. 제품도 불량이고 교환 신청했는데 아직 연락이 없어요. 최악입니다.,전자제품
7,아로마 디퓨저,5,향기가 너무 좋아요. 집 안 분위기가 완전히 달라졌어요. 선물로도 강력 추천!,생활용품
8,접이식 캠핑 의자,4,가볍고 편하네요. 캠핑에서 정말 잘 쓰고 있어요. 생각보다 튼튼해서 좋습니다.,아웃도어
9,스테인리스 도시락통,3,보온 기능은 없지만 밀폐는 잘 돼요. 가격 대비 나쁘지 않아요.,주방
10,휴대용 손선풍기,5,이렇게 바람이 강할 줄 몰랐어요! 소음도 적고 배터리도 오래가요. 여름 필수템입니다.,생활용품
11,화면보호 필름,2,기포가 너무 많이 생겼어요. 붙이기가 어렵고 설명서도 불친절했어요.,액세서리
12,양면 수납 파우치,4,수납 공간이 많고 실용적이에요. 여행할 때 정말 유용하게 쓰고 있어요.,여행
13,전동 안마기,5,뭉친 어깨가 확 풀렸어요! 강도 조절도 잘 되고 소음도 적어요. 부모님 선물로 샀는데 너무 좋아하세요.,헬스
14,주방 저울,4,정확도가 좋고 깔끔하게 생겼어요. 베이킹할 때 정말 편리해요.,주방
15,와이파이 플러그,1,앱 연동이 안 되고 고객센터에 연락했는데 도움이 안 됐어요. 돈 낭비입니다.,전자제품
16,캔버스 에코백,5,디자인이 예쁘고 내구성도 좋아요. 매일 들고 다니는데 전혀 지치지 않아요!,패션
17,노트북 파우치,3,사이즈가 딱 맞긴 한데 소재가 좀 얇은 편이에요. 가격이 저렴해서 그냥 씁니다.,액세서리
18,핸드폰 거치대,5,차 안에서 정말 편리하게 쓰고 있어요. 설치도 쉽고 흔들림도 없어요. 강력 추천!,전자제품
19,비건 립밤,4,보습력이 정말 좋아요. 향도 은은하고 발림성도 좋습니다. 다음에 또 살 것 같아요.,뷰티
20,폼롤러,2,처음엔 좋았는데 한 달 만에 찌그러졌어요. 내구성이 좀 더 좋았으면 해요.,헬스
21,미니 가습기,5,USB 타입이라 사무실에서 정말 편리하게 쓰고 있어요. 소음도 없고 물도 오래가요!,생활용품
22,다용도 클리너,3,세정 효과는 괜찮아요. 향이 조금 강한 편이라 환기 잘 해줘야 해요.,생활용품
23,독서대,4,각도 조절이 자유로워서 좋아요. 책상 위 공간도 절약되고 목도 덜 아파요.,생활용품
24,자외선 차단 선글라스,1,렌즈 코팅이 2주 만에 벗겨졌어요. 사진이랑 실물이 너무 달라요. 환불 요청했어요.,패션
25,스마트 조명,5,앱으로 색상이랑 밝기 조절하는 게 너무 신기해요! 인테리어 효과도 좋고 전기세도 절약돼요.,전자제품
26,재사용 실리콘 백,4,밀폐가 잘 되고 냄새도 없어요. 환경도 지키고 실용적이에요. 더 큰 사이즈도 있으면 좋겠어요.,주방
27,등산 스틱,3,가볍고 접이식이라 편해요. 손잡이 부분이 조금 미끄러운 느낌이에요.,아웃도어
28,아크릴 수납함,5,투명해서 내용물 한눈에 보이고 깔끔하게 정리 돼요. 책상 위가 완전히 달라졌어요!,생활용품
29,모기 퇴치기,2,소리가 너무 시끄럽고 효과도 별로예요. 광고랑 많이 달라요.,생활용품
30,블루투스 스피커,5,방수 기능도 있고 음질도 정말 좋아요. 캠핑, 수영장 어디서나 최고예요! 재구매할게요.,전자제품
